,County,Candidate,Party,Share,Votes
161,LYCOMING,"CLARK, IRENE",DEM,15.43%,"5,046"
162,LYCOMING,"LALLEY, PAUL N",REP,33.84%,"11,069"
163,LYCOMING,"FIZZANO CANNON, CHRISTINE",REP,36.57%,"11,963"
164,McKEAN,"CEISLER, ELLEN H",DEM,13.92%,"1,321"
165,McKEAN,"CLARK, IRENE",DEM,14.26%,"1,354"
166,McKEAN,"LALLEY, PAUL N",REP,34.92%,"3,315"
167,McKEAN,"FIZZANO CANNON, CHRISTINE",REP,36.90%,"3,503"
168,MERCER,"CEISLER, ELLEN H",DEM,20.78%,"7,071"
169,MERCER,"CLARK, IRENE",DEM,21.70%,"7,384"
170,MERCER,"LALLEY, PAUL N",REP,28.49%,"9,695"
171,MERCER,"FIZZANO CANNON, CHRISTINE",REP,29.04%,"9,881"
172,MIFFLIN,"CEISLER, ELLEN H",DEM,12.17%,"1,300"
173,MIFFLIN,"CLARK, IRENE",DEM,12.83%,"1,370"
174,MIFFLIN,"LALLEY, PAUL N",REP,35.71%,"3,813"
175,MIFFLIN,"FIZZANO CANNON, CHRISTINE",REP,39.29%,"4,196"
176,MONROE,"CEISLER, ELLEN H",DEM,24.79%,"9,961"
177,MONROE,"CLARK, IRENE",DEM,24.40%,"9,802"
178,MONROE,"LALLEY, PAUL N",REP,24.25%,"9,744"
179,MONROE,"FIZZANO CANNON, CHRISTINE",REP,26.55%,"10,668"
180,MONTGOMERY,"CEISLER, ELLEN H",DEM,30.64%,"99,408"
181,MONTGOMERY,"CLARK, IRENE",DEM,29.08%,"94,335"
182,MONTGOMERY,"LALLEY, PAUL N",REP,19.14%,"62,085"
183,MONTGOMERY,"FIZZANO CANNON, CHRISTINE",REP,21.15%,"68,612"
184,MONTOUR,"CEISLER, ELLEN H",DEM,17.95%,947
185,MONTOUR,"CLARK, IRENE",DEM,18.80%,992
186,MONTOUR,"LALLEY, PAUL N",REP,30.16%,"1,591"
187,MONTOUR,"FIZZANO CANNON, CHRISTINE",REP,33.09%,"1,746"
188,NORTHAMPTON,"CEISLER, ELLEN H",DEM,27.20%,"20,901"
189,NORTHAMPTON,"CLARK, IRENE",DEM,25.77%,"19,800"
190,NORTHAMPTON,"LALLEY, PAUL N",REP,22.78%,"17,508"
191,NORTHAMPTON,"FIZZANO CANNON, CHRISTINE",REP,24.25%,"18,635"
192,NORTHUMBERLAND,"CEISLER, ELLEN H",DEM,16.88%,"4,002"
193,NORTHUMBERLAND,"CLARK, IRENE",DEM,19.15%,"4,541"
194,NORTHUMBERLAND,"LALLEY, PAUL N",REP,29.65%,"7,031"
195,NORTHUMBERLAND,"FIZZANO CANNON, CHRISTINE",REP,34.31%,"8,136"
196,PERRY,"CEISLER, ELLEN H",DEM,11.62%,"1,609"
197,PERRY,"CLARK, IRENE",DEM,12.76%,"1,767"
198,PERRY,"LALLEY, PAUL N",REP,36.37%,"5,037"
199,PERRY,"FIZZANO CANNON, CHRISTINE",REP,39.26%,"5,438"
200,PHILADELPHIA,"CEISLER, ELLEN H",DEM,43.28%,"152,504"
201,PHILADELPHIA,"CLARK, IRENE",DEM,39.02%,"137,497"
202,PHILADELPHIA,"LALLEY, PAUL N",REP,7.53%,"26,516"
203,PHILADELPHIA,"FIZZANO CANNON, CHRISTINE",REP,10.17%,"35,839"
204,PIKE,"CEISLER, ELLEN H",DEM,20.96%,"3,001"
205,PIKE,"CLARK, IRENE",DEM,21.23%,"3,041"
206,PIKE,"LALLEY, PAUL N",REP,28.41%,"4,069"
207,PIKE,"FIZZANO CANNON, CHRISTINE",REP,29.40%,"4,210"
208,POTTER,"CEISLER, ELLEN H",DEM,11.90%,720
209,POTTER,"CLARK, IRENE",DEM,12.95%,784
210,POTTER,"LALLEY, PAUL N",REP,37.66%,"2,279"
211,POTTER,"FIZZANO CANNON, CHRISTINE",REP,37.49%,"2,269"
212,SCHUYLKILL,"CEISLER, ELLEN H",DEM,17.94%,"8,411"
213,SCHUYLKILL,"CLARK, IRENE",DEM,19.36%,"9,077"
214,SCHUYLKILL,"LALLEY, PAUL N",REP,29.98%,"14,059"
215,SCHUYLKILL,"FIZZANO CANNON, CHRISTINE",REP,32.72%,"15,340"
216,SNYDER,"CEISLER, ELLEN H",DEM,13.75%,"1,297"
217,SNYDER,"CLARK, IRENE",DEM,14.26%,"1,345"
218,SNYDER,"LALLEY, PAUL N",REP,33.88%,"3,195"
219,SNYDER,"FIZZANO CANNON, CHRISTINE",REP,38.10%,"3,593"
220,SOMERSET,"CEISLER, ELLEN H",DEM,14.35%,"3,570"
221,SOMERSET,"CLARK, IRENE",DEM,15.98%,"3,976"
222,SOMERSET,"LALLEY, PAUL N",REP,33.88%,"8,428"
223,SOMERSET,"FIZZANO CANNON, CHRISTINE",REP,35.79%,"8,904"
224,SULLIVAN,"CEISLER, ELLEN H",DEM,14.54%,382
225,SULLIVAN,"CLARK, IRENE",DEM,16.25%,427
226,SULLIVAN,"LALLEY, PAUL N",REP,33.03%,868
227,SULLIVAN,"FIZZANO CANNON, CHRISTINE",REP,36.19%,951
228,SUSQUEHANNA,"CEISLER, ELLEN H",DEM,14.94%,"1,941"
229,SUSQUEHANNA,"CLARK, IRENE",DEM,14.94%,"1,941"
230,SUSQUEHANNA,"LALLEY, PAUL N",REP,34.20%,"4,444"
231,SUSQUEHANNA,"FIZZANO CANNON, CHRISTINE",REP,35.93%,"4,669"
232,TIOGA,"CEISLER, ELLEN H",DEM,11.58%,"1,471"
233,TIOGA,"CLARK, IRENE",DEM,12.40%,"1,575"
234,TIOGA,"LALLEY, PAUL N",REP,37.31%,"4,739"
235,TIOGA,"FIZZANO CANNON, CHRISTINE",REP,38.72%,"4,918"
236,UNION,"CEISLER, ELLEN H",DEM,18.90%,"2,268"
237,UNION,"CLARK, IRENE",DEM,18.48%,"2,218"
238,UNION,"LALLEY, PAUL N",REP,29.47%,"3,536"
239,UNION,"FIZZANO CANNON, CHRISTINE",REP,33.15%,"3,978"
240,VENANGO,"CEISLER, ELLEN H",DEM,14.98%,"2,111"
241,VENANGO,"CLARK, IRENE",DEM,15.63%,"2,202"
242,VENANGO,"LALLEY, PAUL N",REP,33.83%,"4,767"
243,VENANGO,"FIZZANO CANNON, CHRISTINE",REP,35.55%,"5,009"
244,WARREN,"CEISLER, ELLEN H",DEM,15.80%,"1,762"
245,WARREN,"CLARK, IRENE",DEM,16.37%,"1,826"
246,WARREN,"LALLEY, PAUL N",REP,32.42%,"3,617"
247,WARREN,"FIZZANO CANNON, CHRISTINE",REP,35.41%,"3,950"
248,WASHINGTON,"CEISLER, ELLEN H",DEM,22.67%,"14,129"
249,WASHINGTON,"CLARK, IRENE",DEM,22.74%,"14,173"
250,WASHINGTON,"LALLEY, PAUL N",REP,26.21%,"16,335"
251,WASHINGTON,"FIZZANO CANNON, CHRISTINE",REP,28.37%,"17,681"
252,WAYNE,"CEISLER, ELLEN H",DEM,15.19%,"2,315"
253,WAYNE,"CLARK, IRENE",DEM,15.41%,"2,348"
254,WAYNE,"LALLEY, PAUL N",REP,33.87%,"5,161"
255,WAYNE,"FIZZANO CANNON, CHRISTINE",REP,35.53%,"5,415"
256,WESTMORELAND,"CEISLER, ELLEN H",DEM,21.12%,"23,992"
257,WESTMORELAND,"CLARK, IRENE",DEM,21.55%,"24,479"
258,WESTMORELAND,"LALLEY, PAUL N",REP,27.98%,"31,782"
259,WESTMORELAND,"FIZZANO CANNON, CHRISTINE",REP,29.36%,"33,348"
260,WYOMING,"CEISLER, ELLEN H",DEM,15.17%,"1,456"
261,WYOMING,"CLARK, IRENE",DEM,16.73%,"1,606"
262,WYOMING,"LALLEY, PAUL N",REP,33.32%,"3,199"
263,WYOMING,"FIZZANO CANNON, CHRISTINE",REP,34.79%,"3,340"
264,YORK,"CEISLER, ELLEN H",DEM,18.20%,"19,324"
265,YORK,"CLARK, IRENE",DEM,17.38%,"18,450"
266,YORK,"LALLEY, PAUL N",REP,30.98%,"32,882"
267,YORK,"FIZZANO CANNON, CHRISTINE",REP,33.44%,"35,498"
