County,Candidate,Party,Share,Votes
McKEAN,"LANE, TIMIKA",DEM,24.31%,"1,839"
McKEAN,"SULLIVAN , MEGAN",REP,75.69%,"5,725"
MERCER,"LANE, TIMIKA",DEM,33.90%,"7,861"
MERCER,"SULLIVAN , MEGAN",REP,66.10%,"15,327"
MIFFLIN,"LANE, TIMIKA",DEM,19.47%,"1,686"
MIFFLIN,"SULLIVAN , MEGAN",REP,80.53%,"6,972"
MONROE,"LANE, TIMIKA",DEM,48.57%,"13,208"
MONROE,"SULLIVAN , MEGAN",REP,51.43%,"13,983"
MONTGOMERY,"LANE, TIMIKA",DEM,56.86%,"117,815"
MONTGOMERY,"SULLIVAN , MEGAN",REP,43.14%,"89,379"
MONTOUR,"LANE, TIMIKA",DEM,35.11%,"1,338"
MONTOUR,"SULLIVAN , MEGAN",REP,64.89%,"2,473"
NORTHAMPTON,"LANE, TIMIKA",DEM,48.66%,"32,669"
NORTHAMPTON,"SULLIVAN , MEGAN",REP,51.34%,"34,469"
NORTHUMBERLAND,"LANE, TIMIKA",DEM,29.36%,"4,594"
NORTHUMBERLAND,"SULLIVAN , MEGAN",REP,70.64%,"11,053"
PERRY,"LANE, TIMIKA",DEM,20.33%,"1,986"
PERRY,"SULLIVAN , MEGAN",REP,79.67%,"7,784"
PHILADELPHIA,"LANE, TIMIKA",DEM,78.10%,"148,057"
PHILADELPHIA,"SULLIVAN , MEGAN",REP,21.90%,"41,512"
PIKE,"LANE, TIMIKA",DEM,37.44%,"4,686"
PIKE,"SULLIVAN , MEGAN",REP,62.56%,"7,830"
POTTER,"LANE, TIMIKA",DEM,20.14%,836
POTTER,"SULLIVAN , MEGAN",REP,79.86%,"3,314"
SCHUYLKILL,"LANE, TIMIKA",DEM,28.28%,"8,642"
SCHUYLKILL,"SULLIVAN , MEGAN",REP,71.72%,"21,915"
SNYDER,"LANE, TIMIKA",DEM,22.68%,"1,824"
SNYDER,"SULLIVAN , MEGAN",REP,77.32%,"6,218"
SOMERSET,"LANE, TIMIKA",DEM,20.64%,"3,858"
SOMERSET,"SULLIVAN , MEGAN",REP,79.36%,"14,836"
SULLIVAN,"LANE, TIMIKA",DEM,25.34%,464
SULLIVAN,"SULLIVAN , MEGAN",REP,74.66%,"1,367"
SUSQUEHANNA,"LANE, TIMIKA",DEM,27.33%,"2,254"
SUSQUEHANNA,"SULLIVAN , MEGAN",REP,72.67%,"5,994"
TIOGA,"LANE, TIMIKA",DEM,15.24%,"1,156"
TIOGA,"SULLIVAN , MEGAN",REP,84.76%,"6,429"
UNION,"LANE, TIMIKA",DEM,34.59%,"3,084"
UNION,"SULLIVAN , MEGAN",REP,65.41%,"5,831"
VENANGO,"LANE, TIMIKA",DEM,27.98%,"2,724"
VENANGO,"SULLIVAN , MEGAN",REP,72.02%,"7,013"
WARREN,"LANE, TIMIKA",DEM,27.83%,"2,229"
WARREN,"SULLIVAN , MEGAN",REP,72.17%,"5,779"
WASHINGTON,"LANE, TIMIKA",DEM,38.07%,"18,847"
WASHINGTON,"SULLIVAN , MEGAN",REP,61.93%,"30,663"
WAYNE,"LANE, TIMIKA",DEM,29.46%,"3,419"
WAYNE,"SULLIVAN , MEGAN",REP,70.54%,"8,185"
WESTMORELAND,"LANE, TIMIKA",DEM,34.95%,"29,648"
WESTMORELAND,"SULLIVAN , MEGAN",REP,65.05%,"55,173"
WYOMING,"LANE, TIMIKA",DEM,26.95%,"1,808"
WYOMING,"SULLIVAN , MEGAN",REP,73.05%,"4,900"
YORK,"LANE, TIMIKA",DEM,33.68%,"28,068"
YORK,"SULLIVAN , MEGAN",REP,66.32%,"55,263"
