,County,Candidate,Party,Share,Votes
55,CENTRE,"PECK, CHRISTYLEE",REP,24.08%,"14,752"
56,CHESTER,"GREEN-HAWKINS, AMANDA",DEM,27.18%,"72,024"
57,CHESTER,"MCCAFFERY, DANIEL D",DEM,26.65%,"70,615"
58,CHESTER,"MCCARTHY KING, MEGAN",REP,23.99%,"63,570"
59,CHESTER,"PECK, CHRISTYLEE",REP,22.17%,"58,741"
60,CLARION,"GREEN-HAWKINS, AMANDA",DEM,12.86%,"1,891"
61,CLARION,"MCCAFFERY, DANIEL D",DEM,14.01%,"2,059"
62,CLARION,"MCCARTHY KING, MEGAN",REP,37.43%,"5,503"
63,CLARION,"PECK, CHRISTYLEE",REP,35.70%,"5,248"
64,CLEARFIELD,"GREEN-HAWKINS, AMANDA",DEM,14.71%,"4,409"
65,CLEARFIELD,"MCCAFFERY, DANIEL D",DEM,14.23%,"4,265"
66,CLEARFIELD,"MCCARTHY KING, MEGAN",REP,36.37%,"10,901"
67,CLEARFIELD,"PECK, CHRISTYLEE",REP,34.69%,"10,399"
68,CLINTON,"GREEN-HAWKINS, AMANDA",DEM,17.72%,"2,439"
69,CLINTON,"MCCAFFERY, DANIEL D",DEM,17.96%,"2,472"
70,CLINTON,"MCCARTHY KING, MEGAN",REP,32.74%,"4,506"
71,CLINTON,"PECK, CHRISTYLEE",REP,31.58%,"4,347"
72,COLUMBIA,"GREEN-HAWKINS, AMANDA",DEM,17.24%,"3,498"
73,COLUMBIA,"MCCAFFERY, DANIEL D",DEM,17.97%,"3,645"
74,COLUMBIA,"MCCARTHY KING, MEGAN",REP,33.79%,"6,855"
75,COLUMBIA,"PECK, CHRISTYLEE",REP,30.99%,"6,287"
76,CRAWFORD,"GREEN-HAWKINS, AMANDA",DEM,15.71%,"5,444"
77,CRAWFORD,"MCCAFFERY, DANIEL D",DEM,16.81%,"5,823"
78,CRAWFORD,"MCCARTHY KING, MEGAN",REP,34.99%,"12,124"
79,CRAWFORD,"PECK, CHRISTYLEE",REP,32.49%,"11,256"
80,CUMBERLAND,"GREEN-HAWKINS, AMANDA",DEM,20.12%,"20,732"
81,CUMBERLAND,"MCCAFFERY, DANIEL D",DEM,20.65%,"21,280"
82,CUMBERLAND,"MCCARTHY KING, MEGAN",REP,28.85%,"29,729"
83,CUMBERLAND,"PECK, CHRISTYLEE",REP,30.38%,"31,301"
84,DAUPHIN,"GREEN-HAWKINS, AMANDA",DEM,23.08%,"23,150"
85,DAUPHIN,"MCCAFFERY, DANIEL D",DEM,23.56%,"23,629"
86,DAUPHIN,"MCCARTHY KING, MEGAN",REP,26.74%,"26,821"
87,DAUPHIN,"PECK, CHRISTYLEE",REP,26.61%,"26,686"
88,DELAWARE,"GREEN-HAWKINS, AMANDA",DEM,27.36%,"89,253"
89,DELAWARE,"MCCAFFERY, DANIEL D",DEM,27.90%,"91,030"
90,DELAWARE,"MCCARTHY KING, MEGAN",REP,22.76%,"74,240"
91,DELAWARE,"PECK, CHRISTYLEE",REP,21.98%,"71,723"
92,ELK,"GREEN-HAWKINS, AMANDA",DEM,16.07%,"2,462"
93,ELK,"MCCAFFERY, DANIEL D",DEM,16.69%,"2,558"
94,ELK,"MCCARTHY KING, MEGAN",REP,34.15%,"5,234"
95,ELK,"PECK, CHRISTYLEE",REP,33.09%,"5,071"
96,ERIE,"GREEN-HAWKINS, AMANDA",DEM,24.72%,"24,349"
97,ERIE,"MCCAFFERY, DANIEL D",DEM,26.38%,"25,987"
98,ERIE,"MCCARTHY KING, MEGAN",REP,25.57%,"25,194"
99,ERIE,"PECK, CHRISTYLEE",REP,23.33%,"22,984"
100,FAYETTE,"GREEN-HAWKINS, AMANDA",DEM,21.24%,"7,840"
101,FAYETTE,"MCCAFFERY, DANIEL D",DEM,23.04%,"8,503"
102,FAYETTE,"MCCARTHY KING, MEGAN",REP,29.14%,"10,754"
103,FAYETTE,"PECK, CHRISTYLEE",REP,26.58%,"9,810"
104,FOREST,"GREEN-HAWKINS, AMANDA",DEM,14.37%,331
105,FOREST,"MCCAFFERY, DANIEL D",DEM,16.23%,374
106,FOREST,"MCCARTHY KING, MEGAN",REP,36.15%,833
107,FOREST,"PECK, CHRISTYLEE",REP,33.25%,766
108,FRANKLIN,"GREEN-HAWKINS, AMANDA",DEM,12.27%,"5,639"
109,FRANKLIN,"MCCAFFERY, DANIEL D",DEM,12.49%,"5,743"
110,FRANKLIN,"MCCARTHY KING, MEGAN",REP,37.36%,"17,177"
111,FRANKLIN,"PECK, CHRISTYLEE",REP,37.88%,"17,414"
112,FULTON,"GREEN-HAWKINS, AMANDA",DEM,9.16%,487
113,FULTON,"MCCAFFERY, DANIEL D",DEM,9.60%,510
114,FULTON,"MCCARTHY KING, MEGAN",REP,39.15%,"2,081"
115,FULTON,"PECK, CHRISTYLEE",REP,42.09%,"2,237"
116,GREENE,"GREEN-HAWKINS, AMANDA",DEM,18.99%,"3,065"
117,GREENE,"MCCAFFERY, DANIEL D",DEM,20.81%,"3,358"
118,GREENE,"MCCARTHY KING, MEGAN",REP,31.87%,"5,144"
119,GREENE,"PECK, CHRISTYLEE",REP,28.33%,"4,573"
120,HUNTINGDON,"GREEN-HAWKINS, AMANDA",DEM,12.14%,"1,943"
121,HUNTINGDON,"MCCAFFERY, DANIEL D",DEM,11.95%,"1,913"
122,HUNTINGDON,"MCCARTHY KING, MEGAN",REP,37.65%,"6,027"
123,HUNTINGDON,"PECK, CHRISTYLEE",REP,38.27%,"6,126"
124,INDIANA,"GREEN-HAWKINS, AMANDA",DEM,16.65%,"5,439"
125,INDIANA,"MCCAFFERY, DANIEL D",DEM,18.47%,"6,034"
126,INDIANA,"MCCARTHY KING, MEGAN",REP,34.33%,"11,214"
127,INDIANA,"PECK, CHRISTYLEE",REP,30.56%,"9,983"
128,JEFFERSON,"GREEN-HAWKINS, AMANDA",DEM,10.66%,"1,636"
129,JEFFERSON,"MCCAFFERY, DANIEL D",DEM,11.49%,"1,762"
130,JEFFERSON,"MCCARTHY KING, MEGAN",REP,39.32%,"6,032"
131,JEFFERSON,"PECK, CHRISTYLEE",REP,38.53%,"5,911"
132,JUNIATA,"GREEN-HAWKINS, AMANDA",DEM,9.44%,784
133,JUNIATA,"MCCAFFERY, DANIEL D",DEM,10.95%,909
134,JUNIATA,"MCCARTHY KING, MEGAN",REP,40.69%,"3,378"
135,JUNIATA,"PECK, CHRISTYLEE",REP,38.92%,"3,231"
136,LACKAWANNA,"GREEN-HAWKINS, AMANDA",DEM,25.58%,"20,691"
137,LACKAWANNA,"MCCAFFERY, DANIEL D",DEM,28.94%,"23,414"
138,LACKAWANNA,"MCCARTHY KING, MEGAN",REP,24.04%,"19,448"
139,LACKAWANNA,"PECK, CHRISTYLEE",REP,21.44%,"17,347"
140,LANCASTER,"GREEN-HAWKINS, AMANDA",DEM,19.42%,"30,986"
141,LANCASTER,"MCCAFFERY, DANIEL D",DEM,19.32%,"30,834"
142,LANCASTER,"MCCARTHY KING, MEGAN",REP,32.11%,"51,242"
143,LANCASTER,"PECK, CHRISTYLEE",REP,29.16%,"46,529"
144,LAWRENCE,"GREEN-HAWKINS, AMANDA",DEM,19.75%,"6,684"
145,LAWRENCE,"MCCAFFERY, DANIEL D",DEM,20.99%,"7,102"
146,LAWRENCE,"MCCARTHY KING, MEGAN",REP,31.52%,"10,666"
147,LAWRENCE,"PECK, CHRISTYLEE",REP,27.75%,"9,391"
148,LEBANON,"GREEN-HAWKINS, AMANDA",DEM,15.21%,"6,863"
149,LEBANON,"MCCAFFERY, DANIEL D",DEM,16.52%,"7,454"
150,LEBANON,"MCCARTHY KING, MEGAN",REP,34.39%,"15,517"
151,LEBANON,"PECK, CHRISTYLEE",REP,33.88%,"15,285"
152,LEHIGH,"GREEN-HAWKINS, AMANDA",DEM,26.36%,"27,762"
153,LEHIGH,"MCCAFFERY, DANIEL D",DEM,26.96%,"28,394"
154,LEHIGH,"MCCARTHY KING, MEGAN",REP,24.74%,"26,056"
155,LEHIGH,"PECK, CHRISTYLEE",REP,21.95%,"23,126"
156,LUZERNE,"GREEN-HAWKINS, AMANDA",DEM,21.63%,"20,567"
157,LUZERNE,"MCCAFFERY, DANIEL D",DEM,23.70%,"22,542"
158,LUZERNE,"MCCARTHY KING, MEGAN",REP,28.32%,"26,929"
159,LUZERNE,"PECK, CHRISTYLEE",REP,26.36%,"25,066"
160,LYCOMING,"GREEN-HAWKINS, AMANDA",DEM,13.60%,"6,049"
161,LYCOMING,"MCCAFFERY, DANIEL D",DEM,14.31%,"6,364"
162,LYCOMING,"MCCARTHY KING, MEGAN",REP,36.98%,"16,452"
163,LYCOMING,"PECK, CHRISTYLEE",REP,35.11%,"15,620"
164,McKEAN,"GREEN-HAWKINS, AMANDA",DEM,13.63%,"1,863"
165,McKEAN,"MCCAFFERY, DANIEL D",DEM,13.90%,"1,900"
166,McKEAN,"MCCARTHY KING, MEGAN",REP,37.65%,"5,148"
167,McKEAN,"PECK, CHRISTYLEE",REP,34.83%,"4,762"
168,MERCER,"GREEN-HAWKINS, AMANDA",DEM,20.18%,"8,093"
169,MERCER,"MCCAFFERY, DANIEL D",DEM,19.20%,"7,701"
170,MERCER,"MCCARTHY KING, MEGAN",REP,32.00%,"12,836"
171,MERCER,"PECK, CHRISTYLEE",REP,28.62%,"11,477"
172,MIFFLIN,"GREEN-HAWKINS, AMANDA",DEM,10.15%,"1,320"
173,MIFFLIN,"MCCAFFERY, DANIEL D",DEM,11.34%,"1,475"
174,MIFFLIN,"MCCARTHY KING, MEGAN",REP,39.47%,"5,135"
175,MIFFLIN,"PECK, CHRISTYLEE",REP,39.04%,"5,079"
176,MONROE,"GREEN-HAWKINS, AMANDA",DEM,25.14%,"11,189"
177,MONROE,"MCCAFFERY, DANIEL D",DEM,24.14%,"10,746"
178,MONROE,"MCCARTHY KING, MEGAN",REP,25.89%,"11,525"
179,MONROE,"PECK, CHRISTYLEE",REP,24.83%,"11,054"
180,MONTGOMERY,"GREEN-HAWKINS, AMANDA",DEM,30.56%,"123,178"
181,MONTGOMERY,"MCCAFFERY, DANIEL D",DEM,30.98%,"124,897"
182,MONTGOMERY,"MCCARTHY KING, MEGAN",REP,20.03%,"80,734"
183,MONTGOMERY,"PECK, CHRISTYLEE",REP,18.43%,"74,296"
184,MONTOUR,"GREEN-HAWKINS, AMANDA",DEM,17.64%,"1,126"
185,MONTOUR,"MCCAFFERY, DANIEL D",DEM,19.03%,"1,215"
186,MONTOUR,"MCCARTHY KING, MEGAN",REP,32.72%,"2,089"
187,MONTOUR,"PECK, CHRISTYLEE",REP,30.62%,"1,955"
188,NORTHAMPTON,"GREEN-HAWKINS, AMANDA",DEM,24.90%,"25,336"
189,NORTHAMPTON,"MCCAFFERY, DANIEL D",DEM,26.07%,"26,531"
190,NORTHAMPTON,"MCCARTHY KING, MEGAN",REP,25.27%,"25,718"
191,NORTHAMPTON,"PECK, CHRISTYLEE",REP,23.75%,"24,172"
192,NORTHUMBERLAND,"GREEN-HAWKINS, AMANDA",DEM,15.14%,"4,189"
193,NORTHUMBERLAND,"MCCAFFERY, DANIEL D",DEM,17.02%,"4,711"
194,NORTHUMBERLAND,"MCCARTHY KING, MEGAN",REP,35.85%,"9,921"
195,NORTHUMBERLAND,"PECK, CHRISTYLEE",REP,32.00%,"8,855"
196,PERRY,"GREEN-HAWKINS, AMANDA",DEM,11.15%,"1,969"
197,PERRY,"MCCAFFERY, DANIEL D",DEM,12.03%,"2,125"
198,PERRY,"MCCARTHY KING, MEGAN",REP,38.21%,"6,750"
199,PERRY,"PECK, CHRISTYLEE",REP,38.62%,"6,823"
200,PHILADELPHIA,"GREEN-HAWKINS, AMANDA",DEM,40.93%,"218,942"
201,PHILADELPHIA,"MCCAFFERY, DANIEL D",DEM,42.41%,"226,816"
202,PHILADELPHIA,"MCCARTHY KING, MEGAN",REP,8.88%,"47,512"
203,PHILADELPHIA,"PECK, CHRISTYLEE",REP,7.78%,"41,592"
204,PIKE,"GREEN-HAWKINS, AMANDA",DEM,19.91%,"3,080"
205,PIKE,"MCCAFFERY, DANIEL D",DEM,18.69%,"2,891"
206,PIKE,"MCCARTHY KING, MEGAN",REP,31.86%,"4,928"
207,PIKE,"PECK, CHRISTYLEE",REP,29.54%,"4,570"
208,POTTER,"GREEN-HAWKINS, AMANDA",DEM,10.84%,880
209,POTTER,"MCCAFFERY, DANIEL D",DEM,10.70%,869
210,POTTER,"MCCARTHY KING, MEGAN",REP,40.02%,"3,250"
211,POTTER,"PECK, CHRISTYLEE",REP,38.44%,"3,121"
212,SCHUYLKILL,"GREEN-HAWKINS, AMANDA",DEM,15.85%,"9,043"
213,SCHUYLKILL,"MCCAFFERY, DANIEL D",DEM,18.23%,"10,400"
214,SCHUYLKILL,"MCCARTHY KING, MEGAN",REP,34.98%,"19,958"
215,SCHUYLKILL,"PECK, CHRISTYLEE",REP,30.94%,"17,651"
216,SNYDER,"GREEN-HAWKINS, AMANDA",DEM,11.93%,"1,463"
217,SNYDER,"MCCAFFERY, DANIEL D",DEM,13.02%,"1,596"
218,SNYDER,"MCCARTHY KING, MEGAN",REP,38.33%,"4,700"
219,SNYDER,"PECK, CHRISTYLEE",REP,36.72%,"4,503"
220,SOMERSET,"GREEN-HAWKINS, AMANDA",DEM,11.82%,"4,079"
221,SOMERSET,"MCCAFFERY, DANIEL D",DEM,13.88%,"4,791"
222,SOMERSET,"MCCARTHY KING, MEGAN",REP,38.38%,"13,250"
223,SOMERSET,"PECK, CHRISTYLEE",REP,35.92%,"12,399"
224,SULLIVAN,"GREEN-HAWKINS, AMANDA",DEM,13.90%,462
225,SULLIVAN,"MCCAFFERY, DANIEL D",DEM,15.32%,509
226,SULLIVAN,"MCCARTHY KING, MEGAN",REP,37.71%,"1,253"
227,SULLIVAN,"PECK, CHRISTYLEE",REP,33.07%,"1,099"
228,SUSQUEHANNA,"GREEN-HAWKINS, AMANDA",DEM,13.56%,"2,420"
229,SUSQUEHANNA,"MCCAFFERY, DANIEL D",DEM,14.39%,"2,569"
230,SUSQUEHANNA,"MCCARTHY KING, MEGAN",REP,37.53%,"6,699"
231,SUSQUEHANNA,"PECK, CHRISTYLEE",REP,34.52%,"6,162"
232,TIOGA,"GREEN-HAWKINS, AMANDA",DEM,12.69%,"2,005"
233,TIOGA,"MCCAFFERY, DANIEL D",DEM,12.03%,"1,900"
234,TIOGA,"MCCARTHY KING, MEGAN",REP,38.90%,"6,145"
235,TIOGA,"PECK, CHRISTYLEE",REP,36.38%,"5,748"
236,UNION,"GREEN-HAWKINS, AMANDA",DEM,17.41%,"2,625"
237,UNION,"MCCAFFERY, DANIEL D",DEM,18.31%,"2,761"
238,UNION,"MCCARTHY KING, MEGAN",REP,33.21%,"5,009"
239,UNION,"PECK, CHRISTYLEE",REP,31.07%,"4,686"
240,VENANGO,"GREEN-HAWKINS, AMANDA",DEM,14.77%,"2,774"
241,VENANGO,"MCCAFFERY, DANIEL D",DEM,15.56%,"2,922"
242,VENANGO,"MCCARTHY KING, MEGAN",REP,36.88%,"6,928"
243,VENANGO,"PECK, CHRISTYLEE",REP,32.79%,"6,159"
244,WARREN,"GREEN-HAWKINS, AMANDA",DEM,16.04%,"2,412"
245,WARREN,"MCCAFFERY, DANIEL D",DEM,16.34%,"2,458"
246,WARREN,"MCCARTHY KING, MEGAN",REP,34.92%,"5,253"
247,WARREN,"PECK, CHRISTYLEE",REP,32.70%,"4,919"
248,WASHINGTON,"GREEN-HAWKINS, AMANDA",DEM,21.18%,"17,271"
249,WASHINGTON,"MCCAFFERY, DANIEL D",DEM,23.25%,"18,960"
250,WASHINGTON,"MCCARTHY KING, MEGAN",REP,29.61%,"24,148"
251,WASHINGTON,"PECK, CHRISTYLEE",REP,25.97%,"21,183"
252,WAYNE,"GREEN-HAWKINS, AMANDA",DEM,14.40%,"2,958"
253,WAYNE,"MCCAFFERY, DANIEL D",DEM,15.20%,"3,122"
254,WAYNE,"MCCARTHY KING, MEGAN",REP,36.18%,"7,431"
255,WAYNE,"PECK, CHRISTYLEE",REP,34.22%,"7,029"
256,WESTMORELAND,"GREEN-HAWKINS, AMANDA",DEM,18.36%,"27,077"
257,WESTMORELAND,"MCCAFFERY, DANIEL D",DEM,21.15%,"31,195"
258,WESTMORELAND,"MCCARTHY KING, MEGAN",REP,30.87%,"45,517"
259,WESTMORELAND,"PECK, CHRISTYLEE",REP,29.62%,"43,675"
260,WYOMING,"GREEN-HAWKINS, AMANDA",DEM,14.22%,"1,650"
261,WYOMING,"MCCAFFERY, DANIEL D",DEM,14.72%,"1,707"
262,WYOMING,"MCCARTHY KING, MEGAN",REP,37.84%,"4,389"
263,WYOMING,"PECK, CHRISTYLEE",REP,33.22%,"3,854"
264,YORK,"GREEN-HAWKINS, AMANDA",DEM,17.20%,"21,859"
265,YORK,"MCCAFFERY, DANIEL D",DEM,17.50%,"22,242"
266,YORK,"MCCARTHY KING, MEGAN",REP,33.26%,"42,271"
267,YORK,"PECK, CHRISTYLEE",REP,32.05%,"40,737"
