County,Candidate,Yes Share,No Share,Yes Votes,No Votes
LAWRENCE,"BENDER, JOHN T",0.00%,0.00%,0,0
LAWRENCE,"BOWES, MARY JANE",0.00%,0.00%,0,0
LEBANON,"BENDER, JOHN T",69.78%,30.22%,"15,771","6,829"
LEBANON,"BOWES, MARY JANE",69.35%,30.65%,"15,613","6,899"
LEHIGH,"BENDER, JOHN T",58.88%,41.12%,"21,790","15,215"
LEHIGH,"BOWES, MARY JANE",59.79%,40.21%,"21,963","14,769"
LUZERNE,"BENDER, JOHN T",68.29%,31.71%,"9,291","4,314"
LUZERNE,"BOWES, MARY JANE",69.30%,30.70%,"9,367","4,150"
LYCOMING,"BENDER, JOHN T",64.02%,35.98%,"12,099","6,801"
LYCOMING,"BOWES, MARY JANE",64.53%,35.47%,"12,131","6,667"
McKEAN,"BENDER, JOHN T",66.93%,33.07%,"1,834",906
McKEAN,"BOWES, MARY JANE",69.08%,30.92%,"1,883",843
MERCER,"BENDER, JOHN T",70.50%,29.50%,"8,058","3,372"
MERCER,"BOWES, MARY JANE",70.87%,29.13%,"8,044","3,307"
MIFFLIN,"BENDER, JOHN T",57.73%,42.27%,"4,061","2,974"
MIFFLIN,"BOWES, MARY JANE",57.01%,42.99%,"3,987","3,007"
MONROE,"BENDER, JOHN T",60.28%,39.72%,"8,034","5,293"
MONROE,"BOWES, MARY JANE",61.54%,38.46%,"8,149","5,092"
MONTGOMERY,"BENDER, JOHN T",51.83%,48.17%,"15,105","14,041"
MONTGOMERY,"BOWES, MARY JANE",54.40%,45.60%,"15,847","13,283"
MONTOUR,"BENDER, JOHN T",0.00%,0.00%,0,0
MONTOUR,"BOWES, MARY JANE",0.00%,0.00%,0,0
NORTHAMPTON,"BENDER, JOHN T",56.93%,43.07%,"19,991","15,122"
NORTHAMPTON,"BOWES, MARY JANE",58.48%,41.52%,"20,497","14,551"
NORTHUMBERLAND,"BENDER, JOHN T",66.23%,33.77%,"9,451","4,820"
NORTHUMBERLAND,"BOWES, MARY JANE",67.27%,32.73%,"9,530","4,637"
PERRY,"BENDER, JOHN T",70.91%,29.09%,"5,301","2,175"
PERRY,"BOWES, MARY JANE",67.85%,32.15%,"4,935","2,338"
PHILADELPHIA,"BENDER, JOHN T",63.57%,36.43%,"65,119","37,314"
PHILADELPHIA,"BOWES, MARY JANE",66.65%,33.35%,"67,659","33,860"
PIKE,"BENDER, JOHN T",65.49%,34.51%,"7,099","3,741"
PIKE,"BOWES, MARY JANE",66.16%,33.84%,"7,148","3,656"
POTTER,"BENDER, JOHN T",61.39%,38.61%,"2,256","1,419"
POTTER,"BOWES, MARY JANE",62.80%,37.20%,"2,277","1,349"
SCHUYLKILL,"BENDER, JOHN T",66.16%,33.84%,"17,267","8,830"
SCHUYLKILL,"BOWES, MARY JANE",66.55%,33.45%,"17,321","8,708"
SNYDER,"BENDER, JOHN T",65.91%,34.09%,"4,425","2,289"
SNYDER,"BOWES, MARY JANE",64.89%,35.11%,"4,329","2,342"
SOMERSET,"BENDER, JOHN T",61.91%,38.09%,"10,076","6,200"
SOMERSET,"BOWES, MARY JANE",61.98%,38.02%,"10,050","6,166"
SULLIVAN,"BENDER, JOHN T",61.57%,38.43%,873,545
SULLIVAN,"BOWES, MARY JANE",61.86%,38.14%,863,532
SUSQUEHANNA,"BENDER, JOHN T",67.72%,32.28%,"5,029","2,397"
SUSQUEHANNA,"BOWES, MARY JANE",69.20%,30.80%,"5,089","2,265"
TIOGA,"BENDER, JOHN T",64.75%,35.25%,"4,108","2,236"
TIOGA,"BOWES, MARY JANE",65.85%,34.15%,"4,154","2,154"
UNION,"BENDER, JOHN T",66.11%,33.89%,"5,022","2,575"
UNION,"BOWES, MARY JANE",67.18%,32.82%,"5,006","2,446"
VENANGO,"BENDER, JOHN T",64.79%,35.21%,"2,740","1,489"
VENANGO,"BOWES, MARY JANE",65.11%,34.89%,"2,741","1,469"
WARREN,"BENDER, JOHN T",66.25%,33.75%,"4,538","2,312"
WARREN,"BOWES, MARY JANE",67.99%,32.01%,"4,631","2,180"
WASHINGTON,"BENDER, JOHN T",56.04%,43.96%,"22,975","18,025"
WASHINGTON,"BOWES, MARY JANE",56.33%,43.67%,"22,914","17,765"
WAYNE,"BENDER, JOHN T",63.16%,36.84%,"5,674","3,310"
WAYNE,"BOWES, MARY JANE",64.20%,35.80%,"5,749","3,206"
WESTMORELAND,"BENDER, JOHN T",66.26%,33.74%,"20,245","10,311"
WESTMORELAND,"BOWES, MARY JANE",66.26%,33.74%,"20,077","10,222"
WYOMING,"BENDER, JOHN T",62.81%,37.19%,"3,586","2,123"
WYOMING,"BOWES, MARY JANE",63.26%,36.74%,"3,600","2,091"
YORK,"BENDER, JOHN T",63.63%,36.37%,"11,571","6,613"
YORK,"BOWES, MARY JANE",66.18%,33.82%,"12,066","6,166"
