,County,Candidate,Party,Share,Votes
82,BUTLER,"NICHOLS, CAROLYN H",DEM,8.32%,"8,628"
83,BUTLER,"KUNSELMAN, DEBORAH ANNE",DEM,10.46%,"10,853"
84,BUTLER,"MOULTON, H GEOFFREY JR",DEM,7.40%,"7,676"
85,BUTLER,"STEDMAN, CRAIG",REP,15.93%,"16,525"
86,BUTLER,"GIORDANO, EMIL",REP,14.89%,"15,443"
87,BUTLER,"KAGARISE, WADE ALAN",REP,14.66%,"15,199"
88,BUTLER,"MURRAY, MARY P",REP,16.44%,"17,047"
89,BUTLER,"MERMELSTEIN, JULES",GRN,1.78%,"1,841"
90,CAMBRIA,"MCLAUGHLIN, MARIA",DEM,14.02%,"12,232"
91,CAMBRIA,"NICHOLS, CAROLYN H",DEM,11.26%,"9,821"
92,CAMBRIA,"KUNSELMAN, DEBORAH ANNE",DEM,13.45%,"11,736"
93,CAMBRIA,"MOULTON, H GEOFFREY JR",DEM,9.97%,"8,702"
94,CAMBRIA,"STEDMAN, CRAIG",REP,12.65%,"11,036"
95,CAMBRIA,"GIORDANO, EMIL",REP,11.47%,"10,009"
96,CAMBRIA,"KAGARISE, WADE ALAN",REP,12.11%,"10,566"
97,CAMBRIA,"MURRAY, MARY P",REP,13.52%,"11,801"
98,CAMBRIA,"MERMELSTEIN, JULES",GRN,1.55%,"1,355"
99,CAMERON,"MCLAUGHLIN, MARIA",DEM,11.05%,380
100,CAMERON,"NICHOLS, CAROLYN H",DEM,8.11%,279
101,CAMERON,"KUNSELMAN, DEBORAH ANNE",DEM,9.39%,323
102,CAMERON,"MOULTON, H GEOFFREY JR",DEM,6.95%,239
103,CAMERON,"STEDMAN, CRAIG",REP,15.88%,546
104,CAMERON,"GIORDANO, EMIL",REP,14.13%,486
105,CAMERON,"KAGARISE, WADE ALAN",REP,14.66%,504
106,CAMERON,"MURRAY, MARY P",REP,17.85%,614
107,CAMERON,"MERMELSTEIN, JULES",GRN,1.98%,68
108,CARBON,"MCLAUGHLIN, MARIA",DEM,12.39%,"4,673"
109,CARBON,"NICHOLS, CAROLYN H",DEM,10.16%,"3,831"
110,CARBON,"KUNSELMAN, DEBORAH ANNE",DEM,10.92%,"4,119"
111,CARBON,"MOULTON, H GEOFFREY JR",DEM,8.92%,"3,363"
112,CARBON,"STEDMAN, CRAIG",REP,13.96%,"5,264"
113,CARBON,"GIORDANO, EMIL",REP,14.46%,"5,453"
114,CARBON,"KAGARISE, WADE ALAN",REP,12.89%,"4,859"
115,CARBON,"MURRAY, MARY P",REP,14.89%,"5,614"
116,CARBON,"MERMELSTEIN, JULES",GRN,1.42%,534
117,CENTRE,"MCLAUGHLIN, MARIA",DEM,15.36%,"14,179"
118,CENTRE,"NICHOLS, CAROLYN H",DEM,13.55%,"12,503"
119,CENTRE,"KUNSELMAN, DEBORAH ANNE",DEM,14.23%,"13,131"
120,CENTRE,"MOULTON, H GEOFFREY JR",DEM,12.33%,"11,380"
121,CENTRE,"STEDMAN, CRAIG",REP,10.79%,"9,959"
122,CENTRE,"GIORDANO, EMIL",REP,10.05%,"9,273"
123,CENTRE,"KAGARISE, WADE ALAN",REP,10.36%,"9,564"
124,CENTRE,"MURRAY, MARY P",REP,11.33%,"10,454"
125,CENTRE,"MERMELSTEIN, JULES",GRN,2.00%,"1,844"
126,CHESTER,"MCLAUGHLIN, MARIA",DEM,13.90%,"56,459"
127,CHESTER,"NICHOLS, CAROLYN H",DEM,13.69%,"55,604"
128,CHESTER,"KUNSELMAN, DEBORAH ANNE",DEM,13.49%,"54,797"
129,CHESTER,"MOULTON, H GEOFFREY JR",DEM,12.68%,"51,507"
130,CHESTER,"STEDMAN, CRAIG",REP,11.18%,"45,417"
131,CHESTER,"GIORDANO, EMIL",REP,11.31%,"45,965"
132,CHESTER,"KAGARISE, WADE ALAN",REP,10.58%,"43,005"
133,CHESTER,"MURRAY, MARY P",REP,11.62%,"47,228"
134,CHESTER,"MERMELSTEIN, JULES",GRN,1.55%,"6,310"
135,CLARION,"MCLAUGHLIN, MARIA",DEM,9.60%,"2,356"
136,CLARION,"NICHOLS, CAROLYN H",DEM,7.06%,"1,731"
137,CLARION,"KUNSELMAN, DEBORAH ANNE",DEM,10.24%,"2,511"
138,CLARION,"MOULTON, H GEOFFREY JR",DEM,5.80%,"1,423"
139,CLARION,"STEDMAN, CRAIG",REP,16.76%,"4,112"
140,CLARION,"GIORDANO, EMIL",REP,14.85%,"3,643"
141,CLARION,"KAGARISE, WADE ALAN",REP,15.35%,"3,766"
142,CLARION,"MURRAY, MARY P",REP,18.63%,"4,571"
143,CLARION,"MERMELSTEIN, JULES",GRN,1.70%,418
144,CLEARFIELD,"MCLAUGHLIN, MARIA",DEM,10.76%,"4,932"
145,CLEARFIELD,"NICHOLS, CAROLYN H",DEM,8.77%,"4,018"
146,CLEARFIELD,"KUNSELMAN, DEBORAH ANNE",DEM,10.66%,"4,886"
147,CLEARFIELD,"MOULTON, H GEOFFREY JR",DEM,7.51%,"3,439"
148,CLEARFIELD,"STEDMAN, CRAIG",REP,15.52%,"7,109"
149,CLEARFIELD,"GIORDANO, EMIL",REP,14.03%,"6,430"
150,CLEARFIELD,"KAGARISE, WADE ALAN",REP,14.57%,"6,677"
151,CLEARFIELD,"MURRAY, MARY P",REP,16.47%,"7,545"
152,CLEARFIELD,"MERMELSTEIN, JULES",GRN,1.71%,782
153,CLINTON,"MCLAUGHLIN, MARIA",DEM,11.78%,"2,678"
154,CLINTON,"NICHOLS, CAROLYN H",DEM,10.15%,"2,306"
155,CLINTON,"KUNSELMAN, DEBORAH ANNE",DEM,11.21%,"2,548"
156,CLINTON,"MOULTON, H GEOFFREY JR",DEM,8.62%,"1,958"
157,CLINTON,"STEDMAN, CRAIG",REP,14.72%,"3,344"
158,CLINTON,"GIORDANO, EMIL",REP,13.34%,"3,032"
159,CLINTON,"KAGARISE, WADE ALAN",REP,13.23%,"3,006"
160,CLINTON,"MURRAY, MARY P",REP,15.20%,"3,453"
161,CLINTON,"MERMELSTEIN, JULES",GRN,1.76%,399
162,COLUMBIA,"MCLAUGHLIN, MARIA",DEM,11.25%,"3,893"
163,COLUMBIA,"NICHOLS, CAROLYN H",DEM,9.42%,"3,258"
164,COLUMBIA,"KUNSELMAN, DEBORAH ANNE",DEM,10.52%,"3,641"
165,COLUMBIA,"MOULTON, H GEOFFREY JR",DEM,7.78%,"2,691"
166,COLUMBIA,"STEDMAN, CRAIG",REP,15.16%,"5,246"
167,COLUMBIA,"GIORDANO, EMIL",REP,14.47%,"5,008"
168,COLUMBIA,"KAGARISE, WADE ALAN",REP,13.62%,"4,712"
169,COLUMBIA,"MURRAY, MARY P",REP,15.78%,"5,462"
170,COLUMBIA,"MERMELSTEIN, JULES",GRN,2.00%,693
171,CRAWFORD,"MCLAUGHLIN, MARIA",DEM,10.47%,"5,173"
172,CRAWFORD,"NICHOLS, CAROLYN H",DEM,8.98%,"4,434"
173,CRAWFORD,"KUNSELMAN, DEBORAH ANNE",DEM,10.34%,"5,107"
174,CRAWFORD,"MOULTON, H GEOFFREY JR",DEM,7.64%,"3,773"
175,CRAWFORD,"STEDMAN, CRAIG",REP,15.41%,"7,612"
176,CRAWFORD,"GIORDANO, EMIL",REP,15.12%,"7,471"
177,CRAWFORD,"KAGARISE, WADE ALAN",REP,14.27%,"7,051"
178,CRAWFORD,"MURRAY, MARY P",REP,16.03%,"7,918"
179,CRAWFORD,"MERMELSTEIN, JULES",GRN,1.75%,864
180,CUMBERLAND,"MCLAUGHLIN, MARIA",DEM,10.98%,"17,414"
181,CUMBERLAND,"NICHOLS, CAROLYN H",DEM,10.08%,"15,974"
182,CUMBERLAND,"KUNSELMAN, DEBORAH ANNE",DEM,10.98%,"17,403"
183,CUMBERLAND,"MOULTON, H GEOFFREY JR",DEM,9.26%,"14,683"
184,CUMBERLAND,"STEDMAN, CRAIG",REP,15.27%,"24,210"
185,CUMBERLAND,"GIORDANO, EMIL",REP,13.85%,"21,952"
186,CUMBERLAND,"KAGARISE, WADE ALAN",REP,13.60%,"21,562"
187,CUMBERLAND,"MURRAY, MARY P",REP,14.35%,"22,757"
188,CUMBERLAND,"MERMELSTEIN, JULES",GRN,1.63%,"2,589"
189,DAUPHIN,"MCLAUGHLIN, MARIA",DEM,12.29%,"19,996"
190,DAUPHIN,"NICHOLS, CAROLYN H",DEM,11.40%,"18,547"
191,DAUPHIN,"KUNSELMAN, DEBORAH ANNE",DEM,12.00%,"19,522"
192,DAUPHIN,"MOULTON, H GEOFFREY JR",DEM,10.33%,"16,800"
193,DAUPHIN,"STEDMAN, CRAIG",REP,14.03%,"22,825"
194,DAUPHIN,"GIORDANO, EMIL",REP,12.96%,"21,087"
195,DAUPHIN,"KAGARISE, WADE ALAN",REP,12.80%,"20,822"
196,DAUPHIN,"MURRAY, MARY P",REP,13.37%,"21,746"
197,DAUPHIN,"MERMELSTEIN, JULES",GRN,0.84%,"1,362"
198,DELAWARE,"MCLAUGHLIN, MARIA",DEM,13.95%,"64,874"
199,DELAWARE,"NICHOLS, CAROLYN H",DEM,13.67%,"63,585"
200,DELAWARE,"KUNSELMAN, DEBORAH ANNE",DEM,12.69%,"59,021"
201,DELAWARE,"MOULTON, H GEOFFREY JR",DEM,12.34%,"57,408"
202,DELAWARE,"STEDMAN, CRAIG",REP,11.98%,"55,708"
203,DELAWARE,"GIORDANO, EMIL",REP,12.22%,"56,813"
204,DELAWARE,"KAGARISE, WADE ALAN",REP,10.87%,"50,532"
205,DELAWARE,"MURRAY, MARY P",REP,11.49%,"53,442"
206,DELAWARE,"MERMELSTEIN, JULES",GRN,0.80%,"3,706"
207,ELK,"MCLAUGHLIN, MARIA",DEM,12.95%,"2,786"
208,ELK,"NICHOLS, CAROLYN H",DEM,10.22%,"2,199"
209,ELK,"KUNSELMAN, DEBORAH ANNE",DEM,12.80%,"2,754"
210,ELK,"MOULTON, H GEOFFREY JR",DEM,9.01%,"1,938"
211,ELK,"STEDMAN, CRAIG",REP,13.43%,"2,891"
212,ELK,"GIORDANO, EMIL",REP,12.53%,"2,697"
213,ELK,"KAGARISE, WADE ALAN",REP,12.26%,"2,638"
214,ELK,"MURRAY, MARY P",REP,14.91%,"3,209"
215,ELK,"MERMELSTEIN, JULES",GRN,1.89%,407
216,ERIE,"MCLAUGHLIN, MARIA",DEM,15.92%,"32,725"
217,ERIE,"NICHOLS, CAROLYN H",DEM,12.57%,"25,821"
218,ERIE,"KUNSELMAN, DEBORAH ANNE",DEM,14.69%,"30,180"
219,ERIE,"MOULTON, H GEOFFREY JR",DEM,10.78%,"22,150"
220,ERIE,"STEDMAN, CRAIG",REP,11.39%,"23,415"
221,ERIE,"GIORDANO, EMIL",REP,11.27%,"23,164"
222,ERIE,"KAGARISE, WADE ALAN",REP,9.44%,"19,407"
223,ERIE,"MURRAY, MARY P",REP,12.16%,"24,979"
224,ERIE,"MERMELSTEIN, JULES",GRN,1.78%,"3,654"
225,FAYETTE,"MCLAUGHLIN, MARIA",DEM,15.49%,"9,540"
226,FAYETTE,"NICHOLS, CAROLYN H",DEM,12.54%,"7,721"
227,FAYETTE,"KUNSELMAN, DEBORAH ANNE",DEM,14.16%,"8,719"
228,FAYETTE,"MOULTON, H GEOFFREY JR",DEM,10.76%,"6,625"
229,FAYETTE,"STEDMAN, CRAIG",REP,11.88%,"7,313"
230,FAYETTE,"GIORDANO, EMIL",REP,10.84%,"6,676"
231,FAYETTE,"KAGARISE, WADE ALAN",REP,10.45%,"6,437"
232,FAYETTE,"MURRAY, MARY P",REP,12.41%,"7,641"
233,FAYETTE,"MERMELSTEIN, JULES",GRN,1.47%,905
234,FOREST,"MCLAUGHLIN, MARIA",DEM,10.22%,383
235,FOREST,"NICHOLS, CAROLYN H",DEM,8.08%,303
236,FOREST,"KUNSELMAN, DEBORAH ANNE",DEM,10.99%,412
237,FOREST,"MOULTON, H GEOFFREY JR",DEM,7.15%,268
238,FOREST,"STEDMAN, CRAIG",REP,15.55%,583
239,FOREST,"GIORDANO, EMIL",REP,14.57%,546
240,FOREST,"KAGARISE, WADE ALAN",REP,14.67%,550
241,FOREST,"MURRAY, MARY P",REP,16.86%,632
242,FOREST,"MERMELSTEIN, JULES",GRN,1.89%,71
243,FRANKLIN,"MCLAUGHLIN, MARIA",DEM,7.89%,"5,465"
244,FRANKLIN,"NICHOLS, CAROLYN H",DEM,6.90%,"4,781"
245,FRANKLIN,"KUNSELMAN, DEBORAH ANNE",DEM,7.58%,"5,254"
246,FRANKLIN,"MOULTON, H GEOFFREY JR",DEM,6.03%,"4,180"
247,FRANKLIN,"STEDMAN, CRAIG",REP,18.23%,"12,631"
248,FRANKLIN,"GIORDANO, EMIL",REP,16.53%,"11,457"
249,FRANKLIN,"KAGARISE, WADE ALAN",REP,17.19%,"11,914"
250,FRANKLIN,"MURRAY, MARY P",REP,18.32%,"12,696"
251,FRANKLIN,"MERMELSTEIN, JULES",GRN,1.33%,924
252,FULTON,"MCLAUGHLIN, MARIA",DEM,6.23%,432
253,FULTON,"NICHOLS, CAROLYN H",DEM,5.71%,396
254,FULTON,"KUNSELMAN, DEBORAH ANNE",DEM,5.74%,398
255,FULTON,"MOULTON, H GEOFFREY JR",DEM,4.71%,327
256,FULTON,"STEDMAN, CRAIG",REP,19.41%,"1,347"
257,FULTON,"GIORDANO, EMIL",REP,17.39%,"1,207"
258,FULTON,"KAGARISE, WADE ALAN",REP,19.28%,"1,338"
259,FULTON,"MURRAY, MARY P",REP,20.19%,"1,401"
260,FULTON,"MERMELSTEIN, JULES",GRN,1.34%,93
261,GREENE,"MCLAUGHLIN, MARIA",DEM,14.53%,"3,135"
262,GREENE,"NICHOLS, CAROLYN H",DEM,12.07%,"2,603"
263,GREENE,"KUNSELMAN, DEBORAH ANNE",DEM,13.24%,"2,856"
264,GREENE,"MOULTON, H GEOFFREY JR",DEM,10.54%,"2,274"
265,GREENE,"STEDMAN, CRAIG",REP,12.60%,"2,718"
266,GREENE,"GIORDANO, EMIL",REP,11.28%,"2,434"
267,GREENE,"KAGARISE, WADE ALAN",REP,10.92%,"2,355"
268,GREENE,"MURRAY, MARY P",REP,13.04%,"2,813"
269,GREENE,"MERMELSTEIN, JULES",GRN,1.78%,385
270,HUNTINGDON,"MCLAUGHLIN, MARIA",DEM,9.11%,"2,134"
271,HUNTINGDON,"NICHOLS, CAROLYN H",DEM,7.18%,"1,681"
272,HUNTINGDON,"KUNSELMAN, DEBORAH ANNE",DEM,7.87%,"1,844"
273,HUNTINGDON,"MOULTON, H GEOFFREY JR",DEM,6.12%,"1,433"
274,HUNTINGDON,"STEDMAN, CRAIG",REP,16.75%,"3,924"
275,HUNTINGDON,"GIORDANO, EMIL",REP,15.46%,"3,621"
276,HUNTINGDON,"KAGARISE, WADE ALAN",REP,17.86%,"4,184"
277,HUNTINGDON,"MURRAY, MARY P",REP,17.83%,"4,176"
278,HUNTINGDON,"MERMELSTEIN, JULES",GRN,1.82%,426
279,INDIANA,"MCLAUGHLIN, MARIA",DEM,11.97%,"6,354"
280,INDIANA,"NICHOLS, CAROLYN H",DEM,9.65%,"5,123"
281,INDIANA,"KUNSELMAN, DEBORAH ANNE",DEM,11.66%,"6,190"
282,INDIANA,"MOULTON, H GEOFFREY JR",DEM,8.06%,"4,279"
283,INDIANA,"STEDMAN, CRAIG",REP,14.72%,"7,813"
284,INDIANA,"GIORDANO, EMIL",REP,13.09%,"6,950"
285,INDIANA,"KAGARISE, WADE ALAN",REP,13.30%,"7,060"
286,INDIANA,"MURRAY, MARY P",REP,15.68%,"8,323"
287,INDIANA,"MERMELSTEIN, JULES",GRN,1.85%,984
288,JEFFERSON,"MCLAUGHLIN, MARIA",DEM,8.39%,"2,251"
289,JEFFERSON,"NICHOLS, CAROLYN H",DEM,6.74%,"1,809"
290,JEFFERSON,"KUNSELMAN, DEBORAH ANNE",DEM,9.10%,"2,442"
291,JEFFERSON,"MOULTON, H GEOFFREY JR",DEM,5.70%,"1,529"
292,JEFFERSON,"STEDMAN, CRAIG",REP,17.47%,"4,686"
293,JEFFERSON,"GIORDANO, EMIL",REP,15.88%,"4,261"
294,JEFFERSON,"KAGARISE, WADE ALAN",REP,16.19%,"4,343"
295,JEFFERSON,"MURRAY, MARY P",REP,18.84%,"5,055"
296,JEFFERSON,"MERMELSTEIN, JULES",GRN,1.69%,454
297,JUNIATA,"MCLAUGHLIN, MARIA",DEM,8.54%,"1,308"
298,JUNIATA,"NICHOLS, CAROLYN H",DEM,6.10%,934
299,JUNIATA,"KUNSELMAN, DEBORAH ANNE",DEM,7.03%,"1,077"
300,JUNIATA,"MOULTON, H GEOFFREY JR",DEM,4.55%,697
301,JUNIATA,"STEDMAN, CRAIG",REP,19.41%,"2,974"
302,JUNIATA,"GIORDANO, EMIL",REP,16.05%,"2,459"
303,JUNIATA,"KAGARISE, WADE ALAN",REP,17.37%,"2,662"
304,JUNIATA,"MURRAY, MARY P",REP,19.44%,"2,979"
305,JUNIATA,"MERMELSTEIN, JULES",GRN,1.51%,232
306,LACKAWANNA,"MCLAUGHLIN, MARIA",DEM,17.96%,"26,749"
307,LACKAWANNA,"NICHOLS, CAROLYN H",DEM,14.54%,"21,654"
308,LACKAWANNA,"KUNSELMAN, DEBORAH ANNE",DEM,15.34%,"22,839"
309,LACKAWANNA,"MOULTON, H GEOFFREY JR",DEM,12.27%,"18,269"
310,LACKAWANNA,"STEDMAN, CRAIG",REP,8.79%,"13,088"
311,LACKAWANNA,"GIORDANO, EMIL",REP,11.13%,"16,580"
312,LACKAWANNA,"KAGARISE, WADE ALAN",REP,7.72%,"11,488"
313,LACKAWANNA,"MURRAY, MARY P",REP,10.03%,"14,942"
314,LACKAWANNA,"MERMELSTEIN, JULES",GRN,2.21%,"3,293"
315,LANCASTER,"MCLAUGHLIN, MARIA",DEM,10.40%,"26,687"
316,LANCASTER,"NICHOLS, CAROLYN H",DEM,9.54%,"24,475"
317,LANCASTER,"KUNSELMAN, DEBORAH ANNE",DEM,10.26%,"26,320"
318,LANCASTER,"MOULTON, H GEOFFREY JR",DEM,8.20%,"21,050"
319,LANCASTER,"STEDMAN, CRAIG",REP,18.46%,"47,367"
320,LANCASTER,"GIORDANO, EMIL",REP,13.92%,"35,719"
321,LANCASTER,"KAGARISE, WADE ALAN",REP,13.83%,"35,477"
322,LANCASTER,"MURRAY, MARY P",REP,14.24%,"36,525"
323,LANCASTER,"MERMELSTEIN, JULES",GRN,1.14%,"2,934"
324,LAWRENCE,"MCLAUGHLIN, MARIA",DEM,12.42%,"6,618"
325,LAWRENCE,"NICHOLS, CAROLYN H",DEM,10.73%,"5,714"
326,LAWRENCE,"KUNSELMAN, DEBORAH ANNE",DEM,13.02%,"6,939"
327,LAWRENCE,"MOULTON, H GEOFFREY JR",DEM,9.24%,"4,922"
328,LAWRENCE,"STEDMAN, CRAIG",REP,13.39%,"7,136"
329,LAWRENCE,"GIORDANO, EMIL",REP,13.21%,"7,039"
330,LAWRENCE,"KAGARISE, WADE ALAN",REP,12.66%,"6,747"
331,LAWRENCE,"MURRAY, MARY P",REP,13.97%,"7,443"
332,LAWRENCE,"MERMELSTEIN, JULES",GRN,1.35%,718
333,LEBANON,"MCLAUGHLIN, MARIA",DEM,9.01%,"6,237"
334,LEBANON,"NICHOLS, CAROLYN H",DEM,7.70%,"5,330"
335,LEBANON,"KUNSELMAN, DEBORAH ANNE",DEM,8.60%,"5,954"
336,LEBANON,"MOULTON, H GEOFFREY JR",DEM,6.79%,"4,696"
337,LEBANON,"STEDMAN, CRAIG",REP,18.29%,"12,658"
338,LEBANON,"GIORDANO, EMIL",REP,15.57%,"10,777"
339,LEBANON,"KAGARISE, WADE ALAN",REP,15.82%,"10,948"
340,LEBANON,"MURRAY, MARY P",REP,16.69%,"11,553"
341,LEBANON,"MERMELSTEIN, JULES",GRN,1.52%,"1,054"
342,LEHIGH,"MCLAUGHLIN, MARIA",DEM,14.25%,"25,421"
343,LEHIGH,"NICHOLS, CAROLYN H",DEM,13.16%,"23,473"
344,LEHIGH,"KUNSELMAN, DEBORAH ANNE",DEM,13.63%,"24,309"
345,LEHIGH,"MOULTON, H GEOFFREY JR",DEM,12.18%,"21,729"
346,LEHIGH,"STEDMAN, CRAIG",REP,10.98%,"19,573"
347,LEHIGH,"GIORDANO, EMIL",REP,13.01%,"23,207"
348,LEHIGH,"KAGARISE, WADE ALAN",REP,10.13%,"18,069"
349,LEHIGH,"MURRAY, MARY P",REP,11.20%,"19,977"
350,LEHIGH,"MERMELSTEIN, JULES",GRN,1.45%,"2,583"
351,LUZERNE,"MCLAUGHLIN, MARIA",DEM,14.58%,"22,983"
352,LUZERNE,"NICHOLS, CAROLYN H",DEM,11.70%,"18,443"
353,LUZERNE,"KUNSELMAN, DEBORAH ANNE",DEM,12.73%,"20,064"
354,LUZERNE,"MOULTON, H GEOFFREY JR",DEM,10.07%,"15,869"
355,LUZERNE,"STEDMAN, CRAIG",REP,12.05%,"18,991"
356,LUZERNE,"GIORDANO, EMIL",REP,12.86%,"20,273"
357,LUZERNE,"KAGARISE, WADE ALAN",REP,10.78%,"16,993"
358,LUZERNE,"MURRAY, MARY P",REP,13.15%,"20,729"
359,LUZERNE,"MERMELSTEIN, JULES",GRN,2.10%,"3,304"
360,LYCOMING,"MCLAUGHLIN, MARIA",DEM,8.89%,"5,779"
