County,Candidate,Party,Share,Votes
MONTOUR,"BROBSON, KEVIN",REP,70.22%,"2,073"
NORTHAMPTON,"MCLAUGHLIN, MARIA",DEM,50.92%,"34,678"
NORTHAMPTON,"BROBSON, KEVIN",REP,49.08%,"33,428"
NORTHUMBERLAND,"MCLAUGHLIN, MARIA",DEM,33.64%,"5,324"
NORTHUMBERLAND,"BROBSON, KEVIN",REP,66.36%,"10,504"
PERRY,"MCLAUGHLIN, MARIA",DEM,22.15%,"2,182"
PERRY,"BROBSON, KEVIN",REP,77.85%,"7,670"
PHILADELPHIA,"MCLAUGHLIN, MARIA",DEM,80.66%,"144,961"
PHILADELPHIA,"BROBSON, KEVIN",REP,19.34%,"34,765"
PIKE,"MCLAUGHLIN, MARIA",DEM,39.30%,"4,940"
PIKE,"BROBSON, KEVIN",REP,60.70%,"7,629"
POTTER,"MCLAUGHLIN, MARIA",DEM,21.77%,908
POTTER,"BROBSON, KEVIN",REP,78.23%,"3,262"
SCHUYLKILL,"MCLAUGHLIN, MARIA",DEM,34.00%,"10,522"
SCHUYLKILL,"BROBSON, KEVIN",REP,66.00%,"20,427"
SNYDER,"MCLAUGHLIN, MARIA",DEM,24.83%,"2,021"
SNYDER,"BROBSON, KEVIN",REP,75.17%,"6,118"
SOMERSET,"MCLAUGHLIN, MARIA",DEM,25.77%,"4,832"
SOMERSET,"BROBSON, KEVIN",REP,74.23%,"13,918"
SULLIVAN,"MCLAUGHLIN, MARIA",DEM,28.93%,541
SULLIVAN,"BROBSON, KEVIN",REP,71.07%,"1,329"
SUSQUEHANNA,"MCLAUGHLIN, MARIA",DEM,29.34%,"2,459"
SUSQUEHANNA,"BROBSON, KEVIN",REP,70.66%,"5,922"
TIOGA,"MCLAUGHLIN, MARIA",DEM,17.98%,"1,373"
TIOGA,"BROBSON, KEVIN",REP,82.02%,"6,264"
UNION,"MCLAUGHLIN, MARIA",DEM,35.95%,"3,228"
UNION,"BROBSON, KEVIN",REP,64.05%,"5,751"
VENANGO,"MCLAUGHLIN, MARIA",DEM,32.52%,"3,183"
VENANGO,"BROBSON, KEVIN",REP,67.48%,"6,605"
WARREN,"MCLAUGHLIN, MARIA",DEM,34.06%,"2,735"
WARREN,"BROBSON, KEVIN",REP,65.94%,"5,294"
WASHINGTON,"MCLAUGHLIN, MARIA",DEM,41.29%,"20,437"
WASHINGTON,"BROBSON, KEVIN",REP,58.71%,"29,054"
WAYNE,"MCLAUGHLIN, MARIA",DEM,32.10%,"3,746"
WAYNE,"BROBSON, KEVIN",REP,67.90%,"7,923"
WESTMORELAND,"MCLAUGHLIN, MARIA",DEM,39.09%,"33,410"
WESTMORELAND,"BROBSON, KEVIN",REP,60.91%,"52,068"
WYOMING,"MCLAUGHLIN, MARIA",DEM,30.25%,"2,041"
WYOMING,"BROBSON, KEVIN",REP,69.75%,"4,706"
YORK,"MCLAUGHLIN, MARIA",DEM,36.07%,"30,173"
YORK,"BROBSON, KEVIN",REP,63.93%,"53,480"
