County,Candidate,Yes Share,No Share,Yes Votes,No Votes
LANCASTER,"BOWES, MARY JANE",0.00%,0.00%,0,0
LAWRENCE,"BENDER, JOHN T",67.92%,32.08%,"9,826","4,640"
LAWRENCE,"BOWES, MARY JANE",67.83%,32.17%,"9,822","4,659"
LEBANON,"BENDER, JOHN T",69.78%,30.22%,"15,771","6,829"
LEBANON,"BOWES, MARY JANE",69.35%,30.65%,"15,613","6,899"
LEHIGH,"BENDER, JOHN T",59.30%,40.70%,"29,855","20,492"
LEHIGH,"BOWES, MARY JANE",60.07%,39.93%,"29,999","19,944"
LUZERNE,"BENDER, JOHN T",68.29%,31.71%,"9,291","4,314"
LUZERNE,"BOWES, MARY JANE",69.30%,30.70%,"9,367","4,150"
LYCOMING,"BENDER, JOHN T",64.02%,35.98%,"12,099","6,801"
LYCOMING,"BOWES, MARY JANE",64.53%,35.47%,"12,131","6,667"
McKEAN,"BENDER, JOHN T",67.83%,32.17%,"4,279","2,029"
McKEAN,"BOWES, MARY JANE",69.98%,30.02%,"4,403","1,889"
MERCER,"BENDER, JOHN T",69.96%,30.04%,"11,170","4,796"
MERCER,"BOWES, MARY JANE",70.14%,29.86%,"11,115","4,733"
MIFFLIN,"BENDER, JOHN T",57.73%,42.27%,"4,061","2,974"
MIFFLIN,"BOWES, MARY JANE",57.01%,42.99%,"3,987","3,007"
MONROE,"BENDER, JOHN T",60.48%,39.52%,"9,236","6,035"
MONROE,"BOWES, MARY JANE",61.70%,38.30%,"9,360","5,809"
MONTGOMERY,"BENDER, JOHN T",51.83%,48.17%,"15,105","14,041"
MONTGOMERY,"BOWES, MARY JANE",54.40%,45.60%,"15,847","13,283"
MONTOUR,"BENDER, JOHN T",69.24%,30.76%,"1,783",792
MONTOUR,"BOWES, MARY JANE",68.93%,31.07%,"1,755",791
NORTHAMPTON,"BENDER, JOHN T",58.04%,41.96%,"30,643","22,151"
NORTHAMPTON,"BOWES, MARY JANE",59.20%,40.80%,"31,132","21,460"
NORTHUMBERLAND,"BENDER, JOHN T",66.23%,33.77%,"9,451","4,820"
NORTHUMBERLAND,"BOWES, MARY JANE",67.27%,32.73%,"9,530","4,637"
PERRY,"BENDER, JOHN T",71.12%,28.88%,"5,853","2,377"
PERRY,"BOWES, MARY JANE",68.22%,31.78%,"5,475","2,550"
PHILADELPHIA,"BENDER, JOHN T",62.91%,37.09%,"74,873","44,141"
PHILADELPHIA,"BOWES, MARY JANE",65.93%,34.07%,"77,668","40,132"
PIKE,"BENDER, JOHN T",65.49%,34.51%,"7,099","3,741"
PIKE,"BOWES, MARY JANE",66.16%,33.84%,"7,148","3,656"
POTTER,"BENDER, JOHN T",61.47%,38.53%,"2,288","1,434"
POTTER,"BOWES, MARY JANE",62.84%,37.16%,"2,308","1,365"
SCHUYLKILL,"BENDER, JOHN T",66.16%,33.84%,"17,267","8,830"
SCHUYLKILL,"BOWES, MARY JANE",66.55%,33.45%,"17,321","8,708"
SNYDER,"BENDER, JOHN T",65.91%,34.09%,"4,425","2,289"
SNYDER,"BOWES, MARY JANE",64.89%,35.11%,"4,329","2,342"
SOMERSET,"BENDER, JOHN T",61.91%,38.09%,"10,076","6,200"
SOMERSET,"BOWES, MARY JANE",61.98%,38.02%,"10,050","6,166"
SULLIVAN,"BENDER, JOHN T",61.57%,38.43%,873,545
SULLIVAN,"BOWES, MARY JANE",61.86%,38.14%,863,532
SUSQUEHANNA,"BENDER, JOHN T",67.72%,32.28%,"5,040","2,402"
SUSQUEHANNA,"BOWES, MARY JANE",69.20%,30.80%,"5,100","2,270"
TIOGA,"BENDER, JOHN T",64.75%,35.25%,"4,108","2,236"
TIOGA,"BOWES, MARY JANE",65.85%,34.15%,"4,154","2,154"
UNION,"BENDER, JOHN T",66.11%,33.89%,"5,022","2,575"
UNION,"BOWES, MARY JANE",67.18%,32.82%,"5,006","2,446"
VENANGO,"BENDER, JOHN T",64.47%,35.53%,"5,462","3,010"
VENANGO,"BOWES, MARY JANE",65.62%,34.38%,"5,543","2,904"
WARREN,"BENDER, JOHN T",66.25%,33.75%,"4,538","2,312"
WARREN,"BOWES, MARY JANE",67.99%,32.01%,"4,631","2,180"
WASHINGTON,"BENDER, JOHN T",56.13%,43.87%,"23,277","18,195"
WASHINGTON,"BOWES, MARY JANE",56.39%,43.61%,"23,203","17,942"
WAYNE,"BENDER, JOHN T",63.27%,36.73%,"5,922","3,438"
WAYNE,"BOWES, MARY JANE",64.29%,35.71%,"5,998","3,332"
WESTMORELAND,"BENDER, JOHN T",67.18%,32.82%,"35,512","17,352"
WESTMORELAND,"BOWES, MARY JANE",66.99%,33.01%,"35,007","17,247"
WYOMING,"BENDER, JOHN T",62.81%,37.19%,"3,586","2,123"
WYOMING,"BOWES, MARY JANE",63.26%,36.74%,"3,600","2,091"
YORK,"BENDER, JOHN T",0.00%,0.00%,0,0
YORK,"BOWES, MARY JANE",0.00%,0.00%,0,0
